name	mod	context	context_source	default	live	seen	english	russian
key.ftbquests.gui_editor.toggle_crosshairs	ftbquests	UNIVERSAL	assumed		key.keyboard.r:CONTROL	options	Toggle Crosshairs	
key.ftbquests.gui_editor.undo	ftbquests	UNIVERSAL	assumed		key.keyboard.z:CONTROL	options	Undo	
key.ftbquests.gui_quest_panel.add_image	ftbquests	UNIVERSAL	assumed		key.keyboard.i	options	Insert Line	
key.ftbquests.gui_quest_panel.add_line	ftbquests	UNIVERSAL	assumed		key.keyboard.l	options	Insert Image	
key.ftbquests.gui_quest_panel.add_page_break	ftbquests	UNIVERSAL	assumed		key.keyboard.p	options	Insert Page Break	
key.ftbquests.gui_quest_panel.edit_desc	ftbquests	UNIVERSAL	assumed		key.keyboard.d	options	Edit Description	
key.ftbquests.gui_quest_panel.edit_quest_props	ftbquests	UNIVERSAL	assumed		key.keyboard.q	options	Edit Quest Properties	
key.ftbquests.gui_quest_panel.edit_subtitle	ftbquests	UNIVERSAL	assumed		key.keyboard.s	options	Edit Subtitle	
key.ftbquests.gui_quest_panel.edit_title	ftbquests	UNIVERSAL	assumed		key.keyboard.t	options	Edit Title	
key.ftbquests.quests	ftbquests	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Quests	Открыть квесты
key.ftbteams.open_gui	ftbteams	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Teams GUI	Открыть интерфейс команд
key.ftbultimine	ftbultimine	UNIVERSAL	assumed		key.keyboard.grave.accent	options	FTB Ultimine	FTB Ultimine
key.fullscreen	minecraft	UNIVERSAL	assumed		key.keyboard.f11	options		
key.gmut.vertical_speed	gmut	UNIVERSAL	assumed		key.keyboard.unknown	options	Vertical Speed Modifier Switch	
key.guideme.guide	guideme	GUI	bytecode		key.keyboard.g	options	Open Guide for Items	
key.gunDown	mahoutsukai	UNIVERSAL	assumed		key.keyboard.down	options	Nobu Guns Down	Nobu Guns Down
key.gunUp	mahoutsukai	UNIVERSAL	assumed		key.keyboard.up	options	Nobu Guns Up	Nobu Guns Up
key.hostilenetworks.open_deep_learner	hostilenetworks	UNIVERSAL	assumed		key.keyboard.u	options	Open Deep Learner Curio	Открыть карманный глубокий обучатель
key.hotbar.1		UNIVERSAL	assumed		key.keyboard.1	options		
key.hotbar.2		UNIVERSAL	assumed		key.keyboard.2	options		
key.hotbar.3		UNIVERSAL	assumed		key.keyboard.3	options		
key.hotbar.4		UNIVERSAL	assumed		key.keyboard.4	options		
key.hotbar.5		UNIVERSAL	assumed		key.keyboard.5	options		
key.hotbar.6		UNIVERSAL	assumed		key.keyboard.6	options		
key.hotbar.7		UNIVERSAL	assumed		key.keyboard.7	options		
key.hotbar.8		UNIVERSAL	assumed		key.keyboard.8	options		
key.hotbar.9		UNIVERSAL	assumed		key.keyboard.9	options		
